Number	Person	Action	Object	Mnemonic	Category	Reference
0	Emma Watson	casting a spell on	dragon	She zeroes out the dragon	Movie Actress	Harry Potter
1	Famke Janssen	betting with	single poker chip	One last poker chip	Movie Actress	Rounders
2	Ingrid Bergman	climbing aboard	last airplane	2 looks like air stairs	Movie Actress	Casablanca
3	Julia Roberts	sticking hand into	necklace box	3 looks like clam (clamshell clapping)	Movie Actress	Pretty Woman
4	Linda Hamilton	using knife to stab	picnic table	4 looks like sharp dagger	Movie Actress	Terminator 2
5	Tina Fey	spilling coffee on	t-shirt	Big 5 on the blue t-shirt	Movie Actress	Mean Girls
6	Scarlett Johansson	arranging bouquet of	flowers	There are six flowers	Movie Actress	Lost in Translation
7	Mary Elizabeth Winstead	brandishing	hammer	Seven evil exes	Movie Actress	Scott Pilgrim vs. the World
8	Uma Thurman	snorting	pouch of heroin	8 looks like oo => ooma	Movie Actress	Pulp Fiction
9	Vivien Leigh	using scissors to cut	green curtains	Nine green curtains	Movie Actress	Gone with the Wind
10	Mackenzie Davis	typing furiously on	keyboard	10 = one and zero	TV Actress	Halt and Catch Fire
11	Cybill Shepard	spreading Vaseline on	camera lens	Cybill has ll in it (11)	TV Actress	Moonlighting
12	Gates McFadden	using replicator to create	test-tube of antidote	Dozen test tubes	TV Actress	Star Trek TNG
13	Alyson Hannigan	hanging on bedroom wall	crucifix	13 unlucky crucifixes	TV Actress	Buffy the Vampire Slayer
14	Lauren Cohan	trapping barn full of	zombies	14 zombies - stab with dagger	TV Actress	The Walking Dead
15	Portia de Rossi	chewing on	plastic fruit	changed her name at age 15	TV Actress	Arrested Development
16	Katee Sackhoff	smoking	cigar	16 cigars	TV Actress	Battlestar Galactica
17	Olivia Wilde	pushing cart of	syringes	17 => needle and scar	TV Actress	House
18	Rhea Perlman	serving at a bar	bottle of beer	18 years old to drink	TV Actress	Cheers
19	Suzanne Somers	using legs to squeeze	Thighmaster	$19.99 order now	TV Actress	Infomercial
